,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({'garden tools', 'housewares'})",frozenset({'bed bath table'}),0.0002515195975686439,0.09583944665688535,3.1439949696080486e-05,0.125,1.3042646254784036,7.33445064173917e-06,1.0333263466778453
1,"frozenset({'garden tools', 'bed bath table'})",frozenset({'housewares'}),0.00016767973171242926,0.06100398239362817,3.1439949696080486e-05,0.1875,3.073569833361965,2.1210818294927155e-05,1.1556874062847653
2,"frozenset({'housewares', 'fashion bags accessories'})",frozenset({'bed bath table'}),0.00011527981555229512,0.09583944665688535,2.0959966464053657e-05,0.1818181818181818,1.8971121825140413,9.911612730813887e-06,1.1050851207526955
3,"frozenset({'fashion bags accessories', 'bed bath table'})",frozenset({'housewares'}),0.00011527981555229512,0.06100398239362817,2.0959966464053657e-05,0.1818181818181818,2.9804313535631177,1.3927438625760744e-05,1.1476617992966767
4,frozenset({'home confort'}),frozenset({'bed bath table'}),0.004150073359882624,0.09583944665688535,0.0005659190945294487,0.13636363636363635,1.422834136885531,0.00016817836013281702,1.046922745976238
5,"frozenset({'home confort', 'furniture decor'})",frozenset({'bed bath table'}),9.431984908824147e-05,0.09583944665688535,2.0959966464053657e-05,0.2222222222222222,2.3186926675171615,1.1920404318675663e-05,1.1624921400125758
6,"frozenset({'housewares', 'furniture decor'})",frozenset({'bed bath table'}),0.0006287989939216097,0.09583944665688535,7.335988262418781e-05,0.11666666666666668,1.21731365044651,1.309613498833452e-05,1.0235779849167335
7,"frozenset({'housewares', 'bed bath table'})",frozenset({'furniture decor'}),0.0007021588765457976,0.06620205407671348,7.335988262418781e-05,0.1044776119402985,1.5781626929465384,2.6875522708658532e-05,1.0427410396143366
8,"frozenset({'computers accessories', 'housewares'})",frozenset({'bed bath table'}),0.00020959966464053657,0.09583944665688535,2.0959966464053657e-05,0.1,1.0434117003827228,8.720505854358962e-07,1.0046228370479051
9,"frozenset({'computers accessories', 'bed bath table'})",frozenset({'housewares'}),0.00020959966464053657,0.06100398239362817,2.0959966464053657e-05,0.1,1.639237244459715,8.173552212611995e-06,1.0433289084515243
10,"frozenset({'perfumery', 'housewares'})",frozenset({'health beauty'}),9.431984908824147e-05,0.09094529448752882,2.0959966464053657e-05,0.2222222222222222,2.443471357967786,1.238202001270426e-05,1.1687846213731772
11,"frozenset({'health beauty', 'housewares'})",frozenset({'perfumery'}),0.00015719974848040242,0.032739467616851814,2.0959966464053657e-05,0.13333333333333333,4.07255655142979,1.5813330389302274e-05,1.1160698450574786
12,"frozenset({'auto', 'cool stuff'})",frozenset({'bed bath table'}),7.335988262418781e-05,0.09583944665688535,2.0959966464053657e-05,0.2857142857142857,2.9811762868077794,1.392919590653744e-05,1.2658247746803604
13,"frozenset({'auto', 'bed bath table'})",frozenset({'cool stuff'}),0.00015719974848040242,0.03788513938377699,2.0959966464053657e-05,0.13333333333333333,3.519409866297833,1.5004432081778926e-05,1.1101325314802573
14,"frozenset({'housewares', 'baby'})",frozenset({'bed bath table'}),0.0001781597149444561,0.09583944665688535,2.0959966464053657e-05,0.11764705882352941,1.2275431769208505,3.885237967228558e-06,1.0247152937888633
15,"frozenset({'home construction', 'housewares'})",frozenset({'furniture decor'}),4.1919932928107315e-05,0.06620205407671348,2.0959966464053657e-05,0.5,7.552635744815577,1.8184780797454894e-05,1.8675958918465732
16,"frozenset({'home construction', 'furniture decor'})",frozenset({'housewares'}),0.00020959966464053657,0.06100398239362817,2.0959966464053657e-05,0.1,1.639237244459715,8.173552212611995e-06,1.0433289084515243
17,"frozenset({'construction tools lights', 'bed bath table'})",frozenset({'furniture decor'}),3.1439949696080486e-05,0.06620205407671348,2.0959966464053657e-05,0.6666666666666666,10.070180993087435,1.8878577214104585e-05,2.8013938377698593
18,"frozenset({'furniture decor', 'construction tools lights'})",frozenset({'bed bath table'}),0.00018863969817648293,0.09583944665688535,2.0959966464053657e-05,0.1111111111111111,1.1593463337585808,2.8808421732976686e-06,1.017180622511004
19,frozenset({'fashion childrens clothes'}),frozenset({'fashion bags accessories'}),8.383986585621463e-05,0.01884300985118424,2.0959966464053657e-05,0.25,13.267519466073415,1.938017104580304e-05,1.308209320198421
